State,Amount
Alabama,5
Alaska,2
Arizona,5
Arkansas,1
California,171
Colorado,21
Connecticut,131
District of Columbia,4
Florida,69
Georgia,15
Hawaii,7
Idaho,3
Illinois,49
Indiana,6
Iowa,3
Kansas,10
Kentucky,5
Louisiana,6
Maine,20
Maryland,42
Massachusetts,552
Michigan,4
Mississippi,1
Nebraska,2
Nevada,3
New Hampshire,53
New Jersey,273
New Mexico,3
New York,387
North Carolina,18
North Dakota,0
Ohio,18
Oklahoma,1
Oregon,9
Pennsylvania,70
Rhode Island,34
South Carolina,5
South Dakota,1
Tennessee,18
Texas,39
Utah,5
Vermont,16
Virginia,25
Washington,31
Wisconsin,2
Wyoming,1
